#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.;;;;;;;;;;
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.;;;;;;;;;;
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, objID1, distance;;;;;;;;;;
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, string, float;;;;;;;;;;
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance;;;;;;;;;;
image,3,HST,j8ph03020,NGC45-POS2,3.50125,-23.16777777778,53157.5522777431,53157.561953669,680,Optical,F555W;CLEAR2L,200,1100,GALAXY;"SPIRAL,Young Massive Clusters in Spiral Galaxies and the Connection with Open Clusters,53523.92150449,ACS/WFC,""Larsen, Soeren S."",9774,GO,HST,-999,CALACS,POLYGON 3.54110116 -23.1786437 3.51416294 -23.12763377 3.48717562 -23.14186629 3.4871888022650217 -23.14189127155057 3.48716265 -23.14190506 3.51409346 -23.19291958 3.54108821 -23.17868247 3.5410750141429963 -23.178657493099386 3.54110116 -23.1786437 3.54110116 -23.1786437,mast:HST/product/j8ph03020_drc.jpg,mast:HST/product/j8ph03020_drz.fits,PUBLIC,False,NaN,science,24820260,165184283,165184283,0";;;;;;;;
"image,3,JWST,jw01539-o076_s00004_nirspec_f100lp-g140h-s1600a1-sub2048,BD+60 1753,261.217821666667,60.4307722222222,59821.4424550945,59821.4558328009,99.42,Infrared,F100LP,800,5000,,Absolute Flux Calibration (Repeatability)ision,59822.09473385,NIRSPEC,""Gordon, Karl D."",1539,CAL,JWST,-999,CALJWST,POLYGON 80.70249586 89.51188872 80.5948653 89.51188872 80.594865300009147 89.511860351103621 80.5947272 89.51186035 80.594727200003248 89.511712810465923 80.59466901 89.51171281 80.594669009999237 89.511662410680543 80.59458401 89.51166241 80.59458401 -88.48179917 80.70232264 -88.48179917 80.702322639998073 -88.481792071596175 80.70238679 -88.48179207 80.702386789997533 -88.481782151422777 80.70244398 -88.48178215 80.702443979998492 -88.481737071290041 80.70249586 -88.48173707 80.70249586 89.51188872 80.70249586 89.51188872 POLYGON 47.30666545 61.12260133 -6.8963941088921485 81.525253025059953 -25.349143468501303 82.082714206262622 -29.249268410961804 82.0902029480291 -103.51779493999999 61.12247148 -103.51779493999999 -70.06741111 -67.8261213110894 -83.228077773150858 -20.137126716383776 -84.730741343999014 47.30666545 -70.06758609 47.30666545 61.12260133 47.30666545 61.12260133,mast:JWST/product/jw01539-o076_s00004_nirspec_f100lp-g140h-s1600a1-sub2048_s2d.jpg,mast:JWST/product/jw01539-o076_s00004_nirspec_f100lp-g140h-s1600a1-sub2048_s2d.fits,PUBLIC,False,NaN,science,90638358,174124031,174124031,0";;;;;;;;;;
IMAGE,3,HLA,hst_13773_14_wfc3_uvis_f657n_f547m,NGC0045,3.50144505500793,-23.1681022644043,NaN,NaN,2094,OPTICAL,F657N;F547M,NaN,NaN,,,57584.0567824,WFC3/UVIS,Chandar,13773,HLA,HLA,-999,HLA,Polygon J2000 3.48010160 -23.17990900 3.49423850 -23.19818220 3.49452675 -23.19801984 3.49504510 -23.19868970 3.49533763 -23.19852492 3.53685630 -23.17512780 3.53657752 -23.17476769 3.53687020 -23.17460270 3.52273080 -23.15633360 3.52215127 -23.15666026 3.52211749 -23.15661660 3.52253520 -23.15637770 3.52233102 -23.15611449 3.52225704 -23.15601913 3.52254980 -23.15585170 3.50822240 -23.13737800 3.50764527 -23.13770802 3.50740270 -23.13739520 3.46553090 -23.16132990 3.47985580 -23.17980780 3.48014151 -23.17964454 3.48027211 -23.17981297,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13773_14_wfc3_uvis_f657n&amp;blue=hst_13773_14_wfc3_uvis_f547m&amp;size=ALL&amp;format=jpg,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13773_14_wfc3_uvis_f657n&amp;blue=hst_13773_14_wfc3_uvis_f547m&amp;size=ALL&amp;format=fits,PUBLIC,,NaN,science,26181387,68255862,68255862,0;;;
image,3,HLA,hst_13364_35_wfc3_uvis_f555w,NGC45,3.49421310599951,-23.1754466072121,56531.81394,56531.83002,1134,OPTICAL,F555W,441700012207.031,659099975585.938,,,56531.89774303,WFC3/UVIS,Calzetti,13364,HLA,HLA,-999,HLA,POLYGON J2000 3.46580456 -23.16150303 3.47980390 -23.17972040 3.48009182 -23.17955738 3.48022095 -23.17972540 3.48004890 -23.17982140 3.49410160 -23.19814570 3.49439227 -23.19798349 3.49490810 -23.19865600 3.49510416 -23.19854659 3.49519748 -23.19849451 3.53681980 -23.17525780 3.53654178 -23.17489550 3.53683130 -23.17473380 3.52277500 -23.15641300 3.52219452 -23.15673717 3.52216257 -23.15669551 3.52258560 -23.15645580 3.52230791 -23.15609467 3.52259710 -23.15593080 3.50835380 -23.13740410 3.50777635 -23.13773129 3.50753600 -23.13741860 3.46556420 -23.16119020 3.46580456 -23.16150303,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_13364_35_wfc3_uvis_f555w,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_13364_35_wfc3_uvis_f555w_drz.fits,PUBLIC,,9083,science,25766652,67690966,67690966,0;;;;;;;;;;
image,3,HST,j8ph03010,NGC45-POS2,3.50125,-23.16777777778,53157.4973818287,53157.5499166319,680,Optical,CLEAR1L;F435W,200,1100,GALAXY;"SPIRAL,Young Massive Clusters in Spiral Galaxies and the Connection with Open Clusters,53523.91475691,ACS/WFC,""Larsen, Soeren S."",9774,GO,HST,-999,CALACS,POLYGON 3.54110116 -23.1786437 3.51416294 -23.12763377 3.48717562 -23.14186629 3.4871888022650217 -23.14189127155057 3.48716265 -23.14190506 3.51409346 -23.19291958 3.54108821 -23.17868247 3.5410750141429963 -23.178657493099386 3.54110116 -23.1786437 3.54110116 -23.1786437,mast:HST/product/j8ph03010_drc.jpg,mast:HST/product/j8ph03010_drz.fits,PUBLIC,False,NaN,science,24820259,165254992,165254992,0";;;;;;;;
image,3,PS1,rings.v3.skycell.0797.016.stk.y,0797.016,3.62773063818565,-23.4034936321434,55402.5547285,56836.6255782259,610,OPTICAL;INFRARED,y,910000000000,1083800048828.13,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS     3.864544   -23.621567    3.865846   -23.187050    3.391653   -23.185082    3.388880   -23.619558,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/0797/016/rings.v3.skycell.0797.016.stk.y.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/0797/016/rings.v3.skycell.0797.016.stk.y.unconv.fits,PUBLIC,,5885,science,1839424,41814755,41814755,13.1703460274889;;;;;;;;;
image,2,GALEX,6380591525457297408,AIS_275_1_63,4.12340247479375,-23.1214726469733,53641.6861689815,53707.4962847222,391,UV,NUV,169300000000,300700000000,,,55414.96450222,GALEX,,,AIS,AIS,-999,AIS,CIRCLE ICRS   4.12340247 -23.12147265 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50275-AIS_275/d/01-main/0001-img/07-try/qa/AIS_275_sg63-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50275-AIS_275/d/01-main/0001-img/07-try/AIS_275_sg63-nd-rr.fits.gz,PUBLIC,,5885,science,29388,51379,51379,0;;;;;;;;;;
image,2,GALEX,6380591525457297408,AIS_275_1_63,4.12340247479375,-23.1214726469733,53641.6861689815,53707.4962847222,390,UV,FUV,134000000000,180600000000,,,55414.96450222,GALEX,,,AIS,AIS,-999,AIS,CIRCLE ICRS   4.12340247 -23.12147265 0.625,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50275-AIS_275/d/01-main/0001-img/07-try/qa/AIS_275_sg63-xd-int_2color.jpg,http://galex.stsci.edu/data/GR6/pipe/02-vsn/50275-AIS_275/d/01-main/0001-img/07-try/AIS_275_sg63-fd-cnt.fits.gz,PUBLIC,,5885,science,29388,51380,51380,0;;;;;;;;;;
image,3,HST,hst_skycell-p0797x14y06_wfc3_uvis_f814w_all,NGC45,3.501791666667,-23.16761111111,56531.83170723,56531.84601258,980,Optical,F814W,702.5,961.2,,,56531.9756944,WFC3/UVIS,,,,HAP,-999,HAP-MVM,POLYGON 3.5366949180446663 -23.174729933108793 3.536464236995205 -23.17493985150977 3.536680055048248 -23.175251833987307 3.494781649313845 -23.198414293597367 3.494241383198265 -23.197789683830457 3.493974916728188 -23.197899405892002 3.479964223313516 -23.179859897830347 3.480207073578062 -23.17965012657802 3.4799548783888277 -23.179382308282015 3.4797004555951037 -23.179503175257015 3.4654533934095104 -23.161205599036133 3.4733803468200386 -23.156681966722402 3.4832095399812304 -23.15107918099891 3.5074460967186596 -23.137250968940137 3.507722367251352 -23.13752997500491 3.508267499466447 -23.137243892546987 3.522431465265207 -23.15589299060402 3.5222007951200074 -23.156102891305054 3.5224770130398912 -23.156404081049775 3.522707201152195 -23.156283024809742 3.5293527189937093 -23.16504409815052 3.5366949180446663 -23.174729933108793,mast:HST/product/hst_skycell-p0797x14y06_wfc3_uvis_f814w_all_drc.jpg,mast:HST/product/hst_skycell-p0797x14y06_wfc3_uvis_f814w_all_drc.fits,PUBLIC,False,NaN,science,87525877,174199079,174199079,0;;;;;;;;;;
image,3,HLA,hst_mos_1043420_wfc3_uvis_f555w,NGC45,3.49420069986797,-23.1754452260077,56531.81394,56531.83002,1134,OPTICAL,F555W,441700012207.031,659099975585.938,,,56531.89774303,WFC3/UVIS,Calzetti,13364,HLA,HLA,-999,HLA,POLYGON J2000 3.53681170 -23.17525420 3.53653356 -23.17489175 3.53682280 -23.17473020 3.52276600 -23.15640930 3.52218686 -23.15673274 3.52215456 -23.15669063 3.52257690 -23.15645130 3.52229909 -23.15609002 3.52258800 -23.15592630 3.50834420 -23.13739960 3.50776774 -23.13772624 3.50752780 -23.13741410 3.46555530 -23.16118660 3.46579533 -23.16149899 3.47979550 -23.17971690 3.48008273 -23.17955427 3.48021180 -23.17972221 3.48004050 -23.17981780 3.49409360 -23.19814230 3.49438323 -23.19798067 3.49489940 -23.19865360 3.49509584 -23.19854397 3.49518852 -23.19849225 3.53681170 -23.17525420,https://hla.stsci.edu/cgi-bin/preview.cgi?dataset=hst_mos_1043420_wfc3_uvis_f555w,,PUBLIC,,NaN,science,26069680,68036947,68036947,0;;;;;;;;;;
