# DATE-BEG = 2012-05-13T20:56:15
# DATE-END = 2019-07-05T11:18:17
# DOI = 10.17909/g37r-1r51
# HLSPID = BOOCATS
# HLSPNAME = HST Photometry and Astrometry of the Bootes I Ultrafaint Dwarf Galaxy
# HLSPLEAD = Carrie Filion
# HLSPVER = 1.0
#HLSPTARG = Bootes I
#PROPOSID = 15317, 12549# DOI = 10.17909/g37r-1r51
# OBSERVAT = HST
# INSTRUME = F606W, F814W
# RADESYS = ICRS
# TIMESYS = UTC
# LICENSE = ‘CC BY 4.0’
# LICENURL = https://creativecommons.org/licenses/by/4.0/
###################################
# CATALOG DESCRIPTION:
# column name, unit, description
# ID - number, astrometric catalog ID
# pmx - mas/yr, weighted proper motion in X
# pmy - mas/yr, weighted proper motion in Y
# err_pmx - mas/yr, error of the weighted proper motion in X
# err_pmy - mas/yr, error of the weighted proper motion in Y
# m_astrom - mag, proxy stellar magnitude
# n1 - number, number of first-epoch datapoints
# n2 - number, number of second-epoch datapoints
# n_del - number, number of deleted datapoints
# max_res - pix, largest residual in either proper-motion fit
# X - pix, X-coordinate in ACS/WFC pixels aligned with RA
# Y - pix, y-coordinate in ACS/WFC pixels aligned with Dec
# RA - decimal deg, right ascension (J2000)
# DEC - decimal deg, declination (J2000)
# pointing - number, Pointing/field center to which source belongs (1, 3, 5)
###################################
# Notes: direction of X-axis is opposite to R.A.
# Formally, our celestial coordinates are on epoch 2016.0.
# Each pointing is treated as an independent field on the sky.
###################################
ID,pmx,pmy,err_pmx,err_pmy,mag_astrom,n1,n2,n_del,max_res,X,Y,RA,DEC,pointing
6020,-0.42,-0.63,0.3,0.46,25.61,7,11,0,0.198,394.13,-112.47,210.025523038,14.477251998,1
56008,3.48,3.93,1.82,2.04,25.85,4,6,4,0.508,283.63,-106.62,210.024642089,14.47597317,1
19004,-0.24,-0.25,0.1,0.12,23.778,8,12,1,0.072,166.48,-106.19,210.023641515,14.474665617,1
16018,0.26,-0.21,0.37,0.24,25.29,7,13,0,0.187,345.4,-95.08,210.02530466,14.476564935,1
1020,0.51,-0.31,0.48,0.39,25.614,3,5,0,0.123,1088.51,-84.81,210.031800079,14.484751609,1
17020,-0.09,0.16,0.07,0.06,22.694,8,15,0,0.055,518.96,-79.07,210.026978129,14.478363795,1
1017,0.75,1.29,0.63,0.53,25.719,5,5,0,0.255,1184.01,-72.93,210.032756162,14.485715995,1
48008,-0.69,-0.32,0.32,0.27,25.418,7,11,0,0.14,921.02,-72.1,210.030508736,14.482781641,1
26021,-0.02,0.29,0.22,0.24,24.431,6,11,0,0.132,547.31,-72.02,210.027302524,14.478620847,1
14010,-0.35,-0.12,0.23,0.38,24.777,8,5,0,0.179,896.76,-63.29,210.03040176,14.48243825,1
7021,1.27,-0.87,0.38,0.88,25.828,3,3,0,0.161,1209.94,-62.2,210.033101928,14.485915516,1
14017,0.94,-0.16,1.9,0.64,25.852,2,9,0,0.366,808.94,-60.09,210.029684946,14.481434184,1
37018,-0.61,-0.06,0.41,0.38,25.793,8,6,0,0.291,340.88,-56.95,210.025704162,14.476197771,1
104015,0.25,1.05,0.23,0.27,24.473,8,10,0,0.145,774.95,-39.38,210.029631121,14.480883636,1
15024,-0.01,0.08,0.09,0.05,22.442,8,15,1,0.073,1384.56,-28.77,210.034984913,14.487581298,1
55005,-4.14,-5.26,0.03,0.06,21.513,8,16,0,0.029,1614.06,-28.33,210.036959619,14.490132408,1
56016,0.25,-0.11,0.98,0.59,26.252,2,5,0,0.174,1821.17,-24.13,210.038785655,14.492402925,1
